"Product","Blackbox flight data recorder by Nicholas Sherlock"
"firmwareType",3
"firmware","2026.6"
"firmwarePatch",0
"firmwareVersion","2026.6.0"
"Firmware revision","Betaflight 2026.6.0-alpha (norevision) STM32G47X"
"Firmware date","Jan 11 2026 13:24:02"
"deviceUID","003a00253334500920383253"
"Board information","BEFH BETAFPVG473"
"Log start datetime","0000-01-01T00:00:00.000+00:00"
"Craft name","APERTURE"
"frameIntervalI",128
"frameIntervalPNum",1
"frameIntervalPDenom",4
"maxthrottle",2000
"gyroScale",1.7453292519943295e-8
"motorOutput","158,2047"
"acc_1G",2048
"vbatscale",110
"vbatmincellvoltage",310
"vbatwarningcellvoltage",330
"vbatmaxcellvoltage",430
"vbatref",381
"currentMeterOffset",-600
"currentMeterScale",750
"looptime",125
"gyro_sync_denom",1
"pid_process_denom",2
"thrMid",50
"thrExpo",0
"tpa_mode",1
"tpa_rate",65
"tpa_breakpoint",1350
"tpa_low_rate",20
"tpa_low_breakpoint",1050
"tpa_low_always",0
"mixer_type","LEGACY"
"rc_rates","30,30,30"
"rc_expo","50,50,50"
"rates","75,75,75"
"rate_limits","1998,1998,1998"
"rollPID","45,80,30,40,120"
"pitchPID","47,84,34,46,125"
"yawPID","45,80,0,0,120"
"levelPID","50,75,75"
"magPID","40,,"
"d_max_gain",37
"d_max_advance",20
"dterm_filter_type",0
"dterm_lpf_hz",75
"dterm_lpf_dyn_hz","75,150"
"dterm_lpf_dyn_expo",5
"dterm_filter2_type",0
"dterm_lpf2_hz",150
"yaw_lpf_hz",100
"dterm_notch_hz",0
"dterm_notch_cutoff",0
"itermWindupPointPercent",80
"iterm_relax",1
"iterm_relax_type",1
"iterm_relax_cutoff",15
"pidAtMinThrottle",1
"anti_gravity_gain",80
"anti_gravity_cutoff_hz",5
"anti_gravity_p_gain",100
"abs_control_gain",0
"use_integrated_yaw",0
"ff_transition",0
"ff_averaging",1
"ff_smooth_factor",65
"ff_jitter_factor",7
"ff_boost",15
"ff_max_rate_limit",90
"yawRateAccelLimit",0
"rateAccelLimit",0
"pidSumLimit",500
"pidSumLimitYaw",400
"deadband",0
"yaw_deadband",0
"gyro_lpf",0
"gyro_soft_type",0
"gyro_lowpass_hz",0
"gyro_lowpass_dyn_hz","250,500"
"gyro_lowpass_dyn_expo",5
"gyro_soft2_type",0
"gyro_lowpass2_hz",500
"gyro_notch_hz","0,0"
"gyro_notch_cutoff","0,0"
"gyro_enabled_bitmask",1
"dyn_notch_max_hz",600
"dyn_notch_count",3
"dyn_notch_q",300
"dyn_notch_min_hz",100
"dshot_bidir",1
"motor_poles",14
"gyro_rpm_notch_harmonics",3
"gyro_rpm_notch_q",500
"gyro_rpm_notch_min",100
"rpm_filter_fade_range_hz",50
"rpm_notch_lpf",150
"acc_lpf_hz",2500
"acc_hardware",0
"gyro_cal_on_first_arm",0
"airmode_activate_throttle",25
"serialrx_provider",9
"unsynced_fast_pwm",0
"fast_pwm_protocol",6
"motor_pwm_rate",480
"motor_idle",550
"debug_mode",100
"features",272892936
"rc_smoothing_mode",1
"rc_smoothing_auto_factor_setpoint",30
"rc_smoothing_auto_factor_throttle",30
"rc_smoothing_setpoint_hz",0
"rc_smoothing_throttle_hz",0
"rc_smoothing_debug_axis",0
"rc_smoothing_active_cutoffs_ff_sp_thr","93,93"
"rc_smoothing_rx_smoothed",250
"rates_type",3
"fields_disabled_mask",33024
"blackbox_high_resolution",0
"vbat_sag_compensation",0
"dynamic_idle_min_rpm",0
"dyn_idle_p_gain",50
"dyn_idle_i_gain",50
"dyn_idle_d_gain",50
"dyn_idle_max_increase",150
"simplified_pids_mode",2
"simplified_master_multiplier",100
"simplified_i_gain",100
"simplified_d_gain",100
"simplified_pi_gain",100
"simplified_d_max_gain",100
"simplified_feedforward_gain",100
"simplified_pitch_d_gain",100
"simplified_pitch_pi_gain",100
"simplified_dterm_filter",1
"simplified_dterm_filter_multiplier",100
"simplified_gyro_filter",1
"simplified_gyro_filter_multiplier",100
"motor_output_limit",100
"throttle_limit_type",0
"throttle_limit_percent",100
"throttle_boost",5
"throttle_boost_cutoff",15
"thrust_linear",0
"loopIteration","time","axisP[0]","axisP[1]","axisP[2]","axisI[0]","axisI[1]","axisI[2]","axisD[0]","axisD[1]","axisF[0]","axisF[1]","axisF[2]","rcCommand[0]","rcCommand[1]","rcCommand[2]","rcCommand[3]","setpoint[0]","setpoint[1]","setpoint[2]","setpoint[3]","vbatLatest","amperageLatest","rssi","gyroADC[0]","gyroADC[1]","gyroADC[2]","gyroUnfilt[0]","gyroUnfilt[1]","gyroUnfilt[2]","accSmooth[0]","accSmooth[1]","accSmooth[2]","debug[0]","debug[1]","debug[2]","debug[3]","debug[4]","debug[5]","debug[6]","debug[7]","motor[0]","motor[1]","motor[2]","motor[3]","eRPM[0]","eRPM[1]","eRPM[2]","eRPM[3]","flightModeFlags","stateFlags","failsafePhase","rxSignalReceived","rxFlightChannelsValid","heading[0]","heading[1]","heading[2]","axisSum[0]","axisSum[1]","axisSum[2]","rcCommands[0]","rcCommands[1]","rcCommands[2]","rcCommands[3]","axisError[0]","axisError[1]","axisError[2]"
0,6115780,2,0,0,0,0,0,2,-1,0,0,0,1,1,-1,1000,0,0,-1,0,380,136,753,-1,1,-2,0,-1,1,79,-136,2060,0,0,0,0,0,0,0,0,158,161,169,175,12,12,12,12,NaN,NaN,NaN,NaN,NaN,-0.06592375092521331,-0.038247550992081505,3.6006848169733985e-8,4,-1,0,0,0,-1,0,1,-1,1
4,6116788,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1000,0,0,-1,0,380,136,753,0,0,0,3,0,5,75,-147,2056,0,0,0,0,0,0,0,0,160,158,159,160,12,12,12,12,1,0,0,1,1,-0.06865030450423361,-0.03730873753885082,3.6046679419143857e-8,0,0,0,0,0,-1,0,0,0,-1
8,6117868,0,0,-1,0,0,0,-2,0,0,0,0,1,1,-2,1000,0,0,-1,0,380,136,753,1,0,1,2,0,7,78,-159,2058,0,0,0,0,0,0,0,0,170,162,158,160,12,12,12,12,1,0,0,1,1,-0.07146273479535994,-0.03746234848932954,6.283166528622177,-2,0,-1,0,0,-1,0,-1,0,-2
12,6118880,-2,0,-3,0,0,0,-4,1,0,0,0,1,1,-2,1000,0,0,-1,0,380,136,753,2,0,3,5,1,6,83,-156,2054,0,0,0,0,0,0,0,0,192,178,158,165,12,12,12,12,1,0,0,1,1,-0.07252439877750594,-0.03816273241414245,6.283113642204873,-6,1,-3,0,0,-1,0,-2,0,-4
16,6119881,-3,0,-4,0,0,0,-7,0,0,0,0,1,1,-2,1000,0,0,-1,0,380,136,753,2,0,4,1,0,1,87,-145,2053,0,0,0,0,0,0,0,0,209,191,158,172,12,12,12,12,1,0,0,1,1,-0.07209529023377385,-0.038976921648216666,6.283043883432969,-10,0,-4,0,0,-1,0,-2,0,-5
20,6120890,-2,1,-5,0,0,0,-5,1,0,0,0,1,1,-2,1000,0,0,-1,0,380,136,753,2,0,3,-2,-1,-4,84,-128,2053,0,0,0,0,0,0,0,0,204,178,158,172,12,12,12,12,1,0,0,1,1,-0.07042587335030734,-0.03928088206908003,6.282991124326849,-7,2,-5,0,0,-1,0,-2,0,-4
24,6121893,-1,1,-5,0,0,0,-2,2,0,0,0,1,1,-2,1000,0,0,-1,0,380,136,753,1,0,1,-2,-1,-8,76,-111,2053,0,0,0,0,0,0,0,0,189,158,161,167,12,12,12,12,1,0,0,1,1,-0.06806001905914551,-0.038946250459019234,6.282973616785183,-3,3,-5,0,0,-1,0,-1,0,-2
28,6122899,1,1,-3,0,0,0,2,2,0,0,0,1,1,-2,1000,0,0,-1,0,380,136,753,0,0,-1,-4,0,-9,72,-100,2056,0,0,0,0,0,0,0,0,178,158,177,180,12,12,12,12,1,0,0,1,1,-0.06561448995137198,-0.03844779882677986,6.282991119355217,3,3,-3,0,0,-1,0,0,0,0
32,6123960,3,1,0,0,0,0,7,2,0,0,0,1,1,-2,1000,0,0,-1,0,380,136,753,-2,-1,-4,-2,-1,-9,69,-97,2057,0,0,0,0,0,0,0,0,172,158,211,200,12,12,12,12,1,0,0,1,1,-0.06357691826727106,-0.037915317755267894,6.283063895259688,10,3,0,0,0,-1,0,2,1,3
